# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;130.249244;51.825252;-0.336174;-0.658112;4.586753;-1.893322
0.199962;130.430347;51.748944;-0.459352;-0.596498;4.503457;-1.510556
0.399923;130.603459;51.650511;-0.573045;-0.547143;4.435878;-1.139965
0.599885;130.766605;51.532336;-0.679555;-0.512355;4.384190;-0.780935
0.799846;130.917810;51.396802;-0.781381;-0.492685;4.348425;-0.427015
0.999808;131.055099;51.246292;-0.881072;-0.488143;4.328745;-0.075573
1.199769;131.176497;51.083190;-0.981188;-0.498817;4.325252;0.252606
1.399731;131.280028;50.909879;-1.084313;-0.525041;4.336915;0.563798
1.599692;131.363719;50.728743;-1.193056;-0.567132;4.362832;0.861670
1.799654;131.425593;50.542165;-1.309999;-0.624605;4.402148;1.147510
1.999615;131.463669;50.352574;-1.437419;-0.687558;4.453967;1.420175
2.199577;131.476878;50.162608;-1.563528;-0.630992;4.517276;1.675874
2.399538;131.467253;49.972246;4.606595;-0.552518;4.590861;1.908048
2.599500;131.437253;49.781882;4.508315;-0.467097;4.673230;2.107933
2.799462;131.389333;49.591912;4.424959;-0.384912;4.762572;2.266776
2.999423;131.325950;49.402733;4.355708;-0.310916;4.856812;2.571891
3.199385;131.249562;49.214741;4.299337;-0.246318;4.961571;2.745683
3.399346;131.162624;49.028331;4.254580;-0.190225;5.071020;2.884449
3.599308;131.067594;48.843900;4.220343;-0.140763;5.183513;2.944832
3.799269;130.966928;48.661844;4.195806;-0.095649;5.295895;2.934922
3.999231;130.863093;48.482574;4.180441;-0.056152;5.405576;2.975768
4.199192;130.758089;48.306491;4.168892;-0.056462;5.514556;3.111101
4.399154;130.652060;48.133254;4.157420;-0.056449;5.626236;3.260023
4.599115;130.544919;47.962608;4.146075;-0.056101;5.740931;3.401504
4.799077;130.436580;47.794293;4.134909;-0.055415;5.858210;3.517482
4.999038;130.326959;47.628053;4.123970;-0.054391;5.977069;3.589805
5.199000;130.215969;47.463630;4.113309;-0.053036;6.095982;3.662226
5.398962;130.103523;47.300768;4.102973;-0.051367;6.214950;3.690446
5.598923;129.989538;47.139209;4.093006;-0.049403;6.332575;3.665642
5.798885;129.873925;46.978696;4.083450;-0.047171;6.447284;3.589036
5.998846;129.756616;46.818991;4.074345;-0.044513;6.557653;3.466136
6.198808;129.637709;46.660057;4.065947;-0.040132;6.662507;3.303139
6.398769;129.517211;46.501646;4.058386;-0.035868;6.760917;3.105248
6.598731;129.395299;46.343732;4.051647;-0.031709;6.852143;2.901021
6.798692;129.272149;46.186285;4.045717;-0.027640;6.936285;2.698744
6.998654;129.147937;46.029277;4.040584;-0.023647;7.013654;2.498300
7.198615;129.022839;45.872681;4.036239;-0.019717;7.084523;2.299652
7.398577;128.897032;45.716468;4.032675;-0.015835;7.149136;2.102821
7.598538;128.770692;45.560609;4.029884;-0.011986;7.207712;1.907861
7.798500;128.643996;45.405077;4.027864;-0.008156;7.260449;1.714855
7.998462;128.517113;45.249835;4.026609;-0.004604;7.307525;1.523903
8.198423;128.390130;45.094784;4.025796;-0.003507;7.349107;1.335117
8.398385;128.263146;44.939953;4.025204;-0.002404;7.385344;1.148616
8.598346;128.136179;44.785295;4.024834;-0.001296;7.416379;0.964523
8.798308;128.009247;44.630762;4.024686;-0.000183;7.442339;0.782966
8.998269;127.882369;44.476306;4.024761;0.000932;7.463346;0.604071
9.198231;127.755562;44.321878;4.025059;0.002048;7.479513;0.427965
9.398192;127.628847;44.167432;4.025580;0.003165;7.490946;0.254774
9.598154;127.502240;44.012920;4.026323;0.004281;7.497744;0.084622
9.798115;127.375760;43.858292;4.027290;0.005394;7.500000;0.000000
9.998077;127.249428;43.703506;4.028478;0.006474;7.500000;0.000000
10.198038;127.123282;43.548542;4.029855;0.007306;7.500000;0.000000
10.398000;126.997332;43.393355;4.031398;0.008138;7.500000;0.000000
10.597961;126.871608;43.237930;4.033108;0.008970;7.500000;0.000000
10.797923;126.746139;43.082252;4.034985;0.009803;7.500000;0.000000
10.997885;126.620957;42.926305;4.037029;0.010636;7.500000;0.000000
11.197846;126.496092;42.770072;4.039239;0.011471;7.500000;0.000000
11.397808;126.371574;42.613539;4.041617;0.012306;7.500000;0.000000
11.597769;126.247434;42.456690;4.044162;0.013142;7.500000;0.000000
11.797731;126.123701;42.299508;4.046875;0.013979;7.500000;0.000000
11.997692;126.000408;42.141981;4.049748;0.014146;7.500000;0.000000
12.197654;125.877555;41.984143;4.052054;0.008918;7.500000;0.000000
12.397615;125.754986;41.826090;4.053315;0.003689;7.500000;0.000000
12.597577;125.632538;41.667952;4.053530;-0.001541;7.500000;0.000000
12.797538;125.510048;41.509861;4.052698;-0.006772;7.500000;0.000000
12.997500;125.387354;41.351948;4.050821;-0.012005;7.500000;0.000000
13.197461;125.264293;41.194345;4.047897;-0.017242;7.500000;0.000000
13.397423;125.140701;41.037183;4.043926;-0.022482;7.500000;0.000000
13.597385;125.016416;40.880593;4.038907;-0.027723;7.500000;0.000000
13.797346;124.891276;40.724707;4.032842;-0.032965;7.500000;0.000000
13.997308;124.765113;40.569651;4.025745;-0.036695;7.500000;0.000000
14.197269;124.637839;40.415456;4.019215;-0.028631;7.500000;0.000000
14.397231;124.509678;40.261984;4.014296;-0.020566;7.500000;0.000000
14.597192;124.380880;40.109032;4.010990;-0.012504;7.500000;0.000000
14.797154;124.251693;39.956395;4.009295;-0.004445;7.500000;0.000000
14.997115;124.122367;39.803869;4.009212;0.003612;7.500000;0.000000
15.197077;123.993151;39.651249;4.010740;0.011670;7.500000;0.000000
15.397038;123.864294;39.498331;4.013880;0.019729;7.500000;0.000000
15.597000;123.736045;39.344910;4.018631;0.027790;7.500000;0.000000
15.796961;123.608653;39.190781;4.024993;0.035850;7.500000;0.000000
15.996923;123.482369;39.035745;4.032944;0.041945;7.500000;0.000000
16.196885;123.357344;38.879717;4.040482;0.033456;7.500000;0.000000
16.396846;123.233351;38.722839;4.046323;0.024971;7.500000;0.000000
16.596808;123.110131;38.565328;4.050469;0.016492;7.500000;0.000000
16.796769;122.987423;38.407401;4.052920;0.008020;7.500000;0.000000
16.996731;122.864965;38.249273;4.053677;-0.000450;7.500000;0.000000
17.196692;122.742497;38.091161;4.052740;-0.008922;7.500000;0.000000
17.396654;122.619757;37.933282;4.050108;-0.017398;7.500000;0.000000
17.596615;122.496486;37.775851;4.045781;-0.025884;7.500000;0.000000
17.796577;122.372421;37.619086;4.039758;-0.034378;7.500000;0.000000
17.996538;122.247295;37.463193;4.032060;-0.040913;7.500000;0.000000
18.196500;122.120909;37.308227;4.024648;-0.033214;7.500000;0.000000
18.396461;121.993504;37.154112;4.018777;-0.025506;7.500000;0.000000
18.596423;121.865316;37.000651;4.014448;-0.017796;7.500000;0.000000
18.796385;121.736581;36.847645;4.011660;-0.010085;7.500000;0.000000
18.996346;121.607537;36.694898;4.010415;-0.002375;7.500000;0.000000
19.196308;121.478420;36.542211;4.010711;0.005336;7.500000;0.000000
19.396269;121.349466;36.389387;4.012548;0.013046;7.500000;0.000000
19.596231;121.220911;36.236228;4.015928;0.020756;7.500000;0.000000
19.796192;121.092993;36.082535;4.020849;0.028465;7.500000;0.000000
19.996154;120.965956;35.928124;4.027291;0.034593;7.500000;0.000000
20.196115;120.840002;35.772936;4.033761;0.030152;7.500000;0.000000
20.396077;120.714971;35.616975;4.039344;0.025711;7.500000;0.000000
20.596038;120.590728;35.460352;4.044041;0.021274;7.500000;0.000000
20.796000;120.467136;35.303182;4.047851;0.016840;7.500000;0.000000
20.995961;120.344058;35.145578;4.050775;0.012409;7.500000;0.000000
21.195923;120.221359;34.987652;4.052814;0.007983;7.500000;0.000000
21.395885;120.098903;34.829518;4.053968;0.003558;7.500000;0.000000
21.595846;119.976553;34.671289;4.054238;-0.000864;7.500000;0.000000
21.795808;119.854173;34.513077;4.053623;-0.005287;7.500000;0.000000
