# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;-38.156038;26.436595;-0.249839;-0.516319;5.134956;1.039691
0.199914;-37.970142;26.379365;-0.345934;-0.469014;5.175275;1.348273
0.399828;-37.790238;26.305468;-0.431687;-0.411488;5.227098;1.623754
0.599742;-37.615790;26.216862;-0.506249;-0.350437;5.288835;1.864720
0.799656;-37.446263;26.115504;-0.569500;-0.290466;5.358856;2.069176
0.999570;-37.281120;26.003352;-0.621777;-0.234021;5.435499;2.236516
1.199483;-37.119827;25.882362;-0.663629;-0.181885;5.517144;2.288999
1.399397;-36.961846;25.754492;-0.695639;-0.133747;5.599471;2.351821
1.599311;-36.806643;25.621698;-0.718309;-0.088648;5.682816;2.431817
1.799225;-36.653680;25.485939;-0.731987;-0.045261;5.767730;2.525771
1.999139;-36.502387;25.349137;-0.736872;-0.006538;5.854621;2.629990
2.199053;-36.352043;25.212544;-0.738114;-0.005679;5.943747;2.734399
2.398967;-36.202752;25.076595;-0.739170;-0.004772;6.035016;2.830139
2.598881;-36.054353;24.941198;-0.740034;-0.003824;6.128049;2.907432
2.798795;-35.906685;24.806260;-0.740701;-0.002842;6.222175;2.953831
2.998709;-35.759587;24.671689;-0.741168;-0.001833;6.316366;3.183630
3.198622;-35.612897;24.537394;-0.741430;-0.000805;6.416337;3.235687
3.398536;-35.466455;24.403282;-0.741487;0.000235;6.516372;3.243188
3.598450;-35.320098;24.269261;-0.741337;0.001276;6.615120;3.202620
3.798364;-35.173666;24.135239;-0.740981;0.002312;6.711208;3.115101
3.998278;-35.026996;24.001123;-0.740430;0.002898;6.803368;2.983792
4.198192;-34.879991;23.866849;-0.739937;0.002054;6.890488;2.812132
4.398106;-34.732697;23.732421;-0.739611;0.001219;6.971599;2.610672
4.598020;-34.585172;23.597848;-0.739450;0.000391;7.046063;2.411018
4.797934;-34.437473;23.463138;-0.739454;-0.000433;7.114141;2.213163
4.997848;-34.289657;23.328298;-0.739623;-0.001253;7.176063;2.017143
5.197762;-34.141784;23.193337;-0.739956;-0.002072;7.232040;1.823027
5.397675;-33.993909;23.058262;-0.740453;-0.002892;7.282259;1.630906
5.597589;-33.846092;22.923083;-0.741114;-0.003713;7.326894;1.440886
5.797503;-33.698390;22.787807;-0.741941;-0.004539;7.366103;1.253082
5.997417;-33.550859;22.652443;-0.742888;-0.004141;7.400034;1.067617
6.197331;-33.403504;22.517023;-0.743460;-0.001571;7.428820;0.884615
6.397245;-33.256253;22.381613;-0.743517;0.001004;7.452587;0.704203
6.597159;-33.109026;22.246280;-0.743058;0.003583;7.471453;0.526508
6.797073;-32.961747;22.111093;-0.742084;0.006165;7.485528;0.351657
6.996987;-32.814337;21.976120;-0.740593;0.008749;7.494913;0.179776
7.196901;-32.666718;21.841430;-0.738587;0.011334;7.499707;0.010986
7.396814;-32.518812;21.707091;-0.736064;0.013917;7.500000;0.000000
7.596728;-32.370541;21.573170;-0.733026;0.016497;7.500000;0.000000
7.796642;-32.221827;21.439737;-0.729472;0.019072;7.500000;0.000000
7.996556;-32.072619;21.306879;-0.725517;0.019370;7.500000;0.000000
8.196470;-31.922906;21.174601;-0.721853;0.017305;7.500000;0.000000
8.396384;-31.772713;21.042820;-0.718602;0.015241;7.500000;0.000000
8.596298;-31.622095;20.911476;-0.715762;0.013178;7.500000;0.000000
8.796212;-31.471105;20.780505;-0.713334;0.011117;7.500000;0.000000
8.996126;-31.319797;20.649848;-0.711318;0.009057;7.500000;0.000000
9.196040;-31.168225;20.519441;-0.709712;0.006999;7.500000;0.000000
9.395953;-31.016443;20.389223;-0.708518;0.004943;7.500000;0.000000
9.595867;-30.864506;20.259132;-0.707735;0.002889;7.500000;0.000000
9.795781;-30.712468;20.129106;-0.707362;0.000837;7.500000;0.000000
9.995695;-30.560452;19.999155;-0.707188;0.002227;7.500000;0.000000
10.195609;-30.408404;19.869297;-0.706389;0.005769;7.500000;0.000000
10.395523;-30.256197;19.739605;-0.704881;0.009311;7.500000;0.000000
10.595437;-30.103746;19.610196;-0.702665;0.012854;7.500000;0.000000
10.795351;-29.950969;19.481184;-0.699740;0.016402;7.500000;0.000000
10.995265;-29.797785;19.352686;-0.696106;0.019954;7.500000;0.000000
11.195179;-29.644109;19.224817;-0.691761;0.023512;7.500000;0.000000
11.395093;-29.489859;19.097693;-0.686705;0.027076;7.500000;0.000000
11.595006;-29.334954;18.971429;-0.680938;0.030646;7.500000;0.000000
11.794920;-29.179309;18.846141;-0.674457;0.034221;7.500000;0.000000
11.994834;-29.022765;18.721857;-0.667712;0.031620;7.500000;0.000000
12.194748;-28.865429;18.598554;-0.661878;0.026746;7.500000;0.000000
12.394662;-28.707446;18.476103;-0.657020;0.021865;7.500000;0.000000
12.594576;-28.548932;18.354345;-0.653137;0.016980;7.500000;0.000000
12.794490;-28.390002;18.233123;-0.650232;0.012094;7.500000;0.000000
12.994404;-28.230770;18.112279;-0.648303;0.007207;7.500000;0.000000
13.194318;-28.071352;17.991655;-0.647350;0.002322;7.500000;0.000000
13.394232;-27.911863;17.871094;-0.647374;-0.002561;7.500000;0.000000
13.594145;-27.752417;17.750436;-0.648374;-0.007441;7.500000;0.000000
13.794059;-27.593129;17.629526;-0.650350;-0.012317;7.500000;0.000000
13.993973;-27.434091;17.508245;-0.652482;-0.007638;7.500000;0.000000
14.193887;-27.275225;17.386711;-0.653383;-0.001367;7.500000;0.000000
14.393801;-27.116389;17.265132;-0.653029;0.004903;7.500000;0.000000
14.593715;-26.957444;17.143716;-0.651421;0.011177;7.500000;0.000000
14.793629;-26.798252;17.022674;-0.648558;0.017459;7.500000;0.000000
14.993543;-26.638673;16.902214;-0.644438;0.023753;7.500000;0.000000
15.193457;-26.478567;16.782546;-0.639060;0.030059;7.500000;0.000000
15.393371;-26.317794;16.663879;-0.632422;0.036381;7.500000;0.000000
15.593285;-26.156217;16.546422;-0.624522;0.042714;7.500000;0.000000
15.793198;-25.993694;16.430384;-0.615359;0.049056;7.500000;0.000000
15.993112;-25.830133;16.315930;-0.605901;0.045507;7.500000;0.000000
16.193026;-25.665552;16.202975;-0.597193;0.041737;7.500000;0.000000
16.392940;-25.500019;16.091383;-0.589239;0.037944;7.500000;0.000000
16.592854;-25.333601;15.981020;-0.582043;0.034134;7.500000;0.000000
16.792768;-25.166366;15.871749;-0.575605;0.030315;7.500000;0.000000
16.992682;-24.998383;15.763436;-0.569928;0.026493;7.500000;0.000000
17.192596;-24.829719;15.655944;-0.565012;0.022672;7.500000;0.000000
17.392510;-24.660442;15.549138;-0.560856;0.018857;7.500000;0.000000
17.592424;-24.490620;15.442882;-0.557460;0.015052;7.500000;0.000000
17.792337;-24.320320;15.337041;-0.554800;0.013376;7.500000;0.000000
17.992251;-24.149544;15.231652;-0.550471;0.029764;7.500000;0.000000
18.192165;-23.978104;15.127263;-0.542848;0.046216;7.500000;0.000000
18.392079;-23.805777;15.024513;-0.531913;0.062817;7.500000;0.000000
18.591993;-23.632339;14.924041;-0.517641;0.079634;7.500000;0.000000
18.791907;-23.457568;14.826486;-0.499999;0.096700;7.500000;0.000000
18.991821;-23.281239;14.732489;-0.478950;0.114012;7.500000;0.000000
19.191735;-23.103130;14.642687;-0.454465;0.131515;7.500000;0.000000
19.391649;-22.923017;14.557720;-0.426523;0.149092;7.500000;0.000000
19.591563;-22.740676;14.478227;-0.395125;0.166555;7.500000;0.000000
19.791477;-22.555944;14.404867;-0.360526;0.174194;7.500000;0.000000
19.991390;-22.368918;14.337859;-0.328364;0.149526;7.500000;0.000000
20.191304;-22.179703;14.276347;-0.301079;0.124763;7.500000;0.000000
20.391218;-21.988648;14.219446;-0.278663;0.100170;7.500000;0.000000
20.591132;-21.796099;14.166266;-0.261086;0.075881;7.500000;0.000000
20.791046;-21.602404;14.115921;-0.248303;0.051921;7.500000;0.000000
20.990960;-21.407912;14.067522;-0.240274;0.028238;7.500000;0.000000
21.190874;-21.212969;14.020182;-0.236969;0.004730;7.500000;0.000000
