# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;19.362506;52.334570;-0.148439;-1.283964;4.363059;-0.388447
0.199927;19.524130;52.293234;-0.346441;-1.074673;4.345223;-0.106246
0.399855;19.681433;52.220577;-0.512160;-0.840349;4.340332;0.175402
0.599782;19.833801;52.120236;-0.646474;-0.640710;4.348404;0.464885
0.799709;19.980620;51.995852;-0.754417;-0.489862;4.369726;0.770847
0.999637;20.121277;51.851064;-0.841690;-0.381541;4.404853;1.101637
1.199564;20.255157;51.689511;-0.913238;-0.305253;4.454573;1.443681
1.399491;20.381648;51.514831;-0.972970;-0.252009;4.518903;1.795654
1.599419;20.500134;51.330666;-1.023889;-0.215396;4.597661;2.160562
1.799346;20.610004;51.140652;-1.068322;-0.191267;4.690671;2.539357
1.999273;20.710642;50.948431;-1.108141;-0.177296;4.797684;2.929953
2.199201;20.802403;50.755319;-1.146474;-0.181986;4.918265;3.325116
2.399128;20.884689;50.563475;-1.184864;-0.185370;5.051623;3.708403
2.599055;20.958015;50.372697;-1.222862;-0.185963;5.196317;4.047032
2.798982;21.022969;50.182636;-1.260029;-0.183595;5.349760;4.213502
2.998910;21.080140;49.992945;-1.295924;-0.178250;5.504973;4.304742
3.198837;21.130116;49.803276;-1.330132;-0.170074;5.659152;4.226953
3.398764;21.173485;49.613280;-1.362272;-0.159351;5.806562;4.046233
3.598692;21.210836;49.422610;-1.392015;-0.146477;5.944247;3.790536
3.798619;21.242757;49.230918;-1.419089;-0.131915;6.070398;3.491455
3.998546;21.269837;49.037854;-1.443285;-0.116157;6.184319;3.173452
4.198474;21.292622;48.843289;-1.464716;-0.102861;6.286074;2.854578
4.398401;21.311581;48.647165;-1.483728;-0.090208;6.376217;2.555428
4.598328;21.327125;48.449649;-1.500388;-0.078052;6.455846;2.291239
4.798256;21.339668;48.250915;-1.514758;-0.066362;6.526416;2.064214
4.998183;21.349621;48.051139;-1.526898;-0.055090;6.589347;1.842304
5.198110;21.357397;47.850494;-1.536858;-0.044180;6.645009;1.636694
5.398038;21.363409;47.649155;-1.544683;-0.033569;6.694071;1.447425
5.597965;21.368067;47.447296;-1.550410;-0.023186;6.737161;1.289521
5.797892;21.371786;47.245091;-1.554063;-0.012961;6.775320;1.159107
5.997820;21.374977;47.042715;-1.555659;-0.002819;6.809437;1.049325
6.197747;21.378121;46.840740;-1.554055;0.019027;6.840177;0.953586
6.397674;21.382038;46.638974;-1.547966;0.041367;6.867992;0.865745
6.597602;21.387628;46.437600;-1.537357;0.064034;6.893148;0.780249
6.797529;21.395793;46.236813;-1.522175;0.087159;6.915741;0.692233
6.997456;21.407434;46.036809;-1.502354;0.110814;6.935724;0.597560
7.197384;21.423452;45.837783;-1.477822;0.134992;6.952927;0.499096
7.397311;21.444747;45.639929;-1.448519;0.159574;6.967264;0.407396
7.597238;21.472220;45.443443;-1.414406;0.184301;6.978944;0.326360
7.797166;21.506774;45.248520;-1.375491;0.208740;6.988287;0.255762
7.997093;21.549308;45.055354;-1.331852;0.232271;6.995601;0.195318
8.197020;21.600646;44.863741;-1.286481;0.224289;7.001180;0.144717
8.396947;21.660564;44.674284;-1.242782;0.215549;7.005312;0.103640
8.596875;21.728683;44.487200;-1.200713;0.207074;7.008269;0.071774
8.796802;21.804626;44.302697;-1.160208;0.198990;7.010316;0.048837
8.996729;21.888015;44.120979;-1.121188;0.191395;7.011709;0.123538
9.196657;21.978473;43.942254;-1.083562;0.184360;7.015230;0.486847
9.396584;22.075622;43.766727;-1.047229;0.177938;7.029091;0.727768
9.596511;22.179087;43.594605;-1.012083;0.172168;7.049761;0.944136
9.796439;22.288489;43.426095;-0.978015;0.167076;7.076485;1.136212
9.996366;22.403450;43.261402;-0.944909;0.162682;7.108514;1.303453
10.196293;22.523160;43.101255;-0.913147;0.154956;7.145079;1.444586
10.396221;22.647699;42.944982;-0.882972;0.147022;7.185387;1.557713
10.596148;22.776759;42.792454;-0.854396;0.138998;7.228599;1.640458
10.796075;22.910028;42.643543;-0.827421;0.130963;7.273829;1.690199
