# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;26.706836;35.855198;-0.214136;-0.467232;5.778568;-1.102844
0.199931;26.893142;35.806091;-0.299809;-0.420717;5.740284;-0.916948
0.399863;27.075825;35.741687;-0.376432;-0.369973;5.708258;-0.703879
0.599794;27.255035;35.663599;-0.443762;-0.319077;5.683551;-0.469277
0.799726;27.430921;35.573442;-0.501980;-0.270577;5.667019;-0.213608
0.999657;27.603634;35.472827;-0.551511;-0.225703;5.659478;0.049848
1.199589;27.773324;35.363369;-0.592883;-0.184736;5.661239;0.322235
1.399520;27.940141;35.246680;-0.626627;-0.147353;5.672608;0.576775
1.599452;28.104236;35.124375;-0.653213;-0.112874;5.692900;0.814146
1.799383;28.265759;34.998066;-0.673003;-0.080416;5.721421;1.033038
1.999315;28.424866;34.869361;-0.686236;-0.049359;5.757406;1.230118
2.199246;28.582335;34.738891;-0.698205;-0.067817;5.799966;1.399903
2.399178;28.737005;34.607090;-0.713911;-0.086875;5.848023;1.534614
2.599109;28.888376;34.473432;-0.733424;-0.106501;5.900255;1.624246
2.799041;29.035947;34.337386;-0.756810;-0.126605;5.955039;1.657213
2.998972;29.179220;34.198426;-0.784112;-0.147018;6.010420;1.972245
3.198904;29.317693;34.056022;-0.815348;-0.167474;6.075671;2.006894
3.398835;29.450866;33.909647;-0.850491;-0.187600;6.141356;1.998846
3.598767;29.578240;33.758773;-0.889459;-0.206908;6.206087;1.950123
3.798698;29.699315;33.602870;-0.932100;-0.224804;6.268597;1.864547
3.998630;29.813566;33.441446;-0.978157;-0.239166;6.327785;1.746361
4.198561;29.920276;33.274677;-1.024760;-0.231746;6.382725;1.599435
4.398493;30.019617;33.102461;-1.070192;-0.225439;6.432630;1.426867
4.598424;30.111450;32.925328;-1.114641;-0.220269;6.476826;1.248247
4.798356;30.195637;32.743808;-1.158297;-0.216248;6.515244;1.073141
4.998287;30.272037;32.558432;-1.201352;-0.213379;6.548093;0.903446
5.198219;30.340511;32.369729;-1.243998;-0.211665;6.575619;0.746833
5.398150;30.400920;32.178230;-1.286428;-0.211112;6.598288;0.602439
5.598082;30.453125;31.984465;-1.328838;-0.211726;6.616517;0.469325
5.798013;30.496986;31.788963;-1.371423;-0.213516;6.630683;0.346507
5.997945;30.532390;31.592088;-1.414411;-0.216129;6.641123;0.299052
6.197876;30.559401;31.392719;-1.457824;-0.215369;6.650120;0.448663
6.397808;30.577714;31.192908;-1.500955;-0.214500;6.663595;0.580381
6.597739;30.587400;30.992926;-1.543811;-0.213562;6.680986;0.693039
6.797671;30.588533;30.793042;4.696779;-0.212591;6.701693;0.785888
6.997602;30.581188;30.593528;4.654429;-0.211620;6.725098;0.864834
7.197534;30.565436;30.394654;4.612304;-0.210675;6.750760;0.959344
7.397465;30.541352;30.196690;4.570377;-0.209781;6.779112;1.058876
7.597397;30.509009;29.999907;4.528623;-0.208955;6.810269;1.166138
7.797328;30.468481;29.804576;4.487011;-0.208212;6.844418;1.283662
7.997260;30.419889;29.611147;4.445578;-0.206125;6.881813;1.413893
8.197191;30.363565;29.420360;4.405321;-0.198612;6.922768;1.541946
8.397123;30.299658;29.231697;4.366492;-0.191256;6.967157;1.604358
8.597054;30.228498;29.045327;4.329049;-0.184158;7.013045;1.588278
8.796986;30.150415;28.861418;4.292934;-0.177398;7.058180;1.574980
8.996917;30.065740;28.680140;4.258082;-0.171037;7.102653;1.566051
9.196849;29.974801;28.501661;4.224421;-0.165123;7.146599;1.562464
9.396780;29.877930;28.326152;4.191870;-0.159690;7.190178;1.558642
9.596712;29.775456;28.153781;4.160349;-0.154764;7.233388;1.554411
9.796643;29.667709;27.984717;4.129770;-0.150363;7.276225;1.549670
9.996575;29.555091;27.819227;4.100133;-0.144097;7.318682;1.544378
10.196506;29.438080;27.657465;4.072602;-0.131631;7.360750;1.538549
10.396438;29.316913;27.498901;4.047602;-0.118879;7.402422;1.532239
10.596369;29.192001;27.343235;4.025161;-0.105976;7.443691;1.525538
10.796301;29.063758;27.190167;4.005292;-0.093025;7.484554;1.518564
10.996232;28.932596;27.039398;3.987994;-0.080098;7.525009;1.511447
11.196164;28.798928;26.890626;3.973262;-0.067239;7.565060;1.501953
11.396095;28.663165;26.743553;3.961083;-0.054466;7.604650;1.481172
11.596027;28.525721;26.597878;3.951447;-0.041781;7.643492;1.450012
11.795958;28.387007;26.453301;3.944340;-0.029167;7.681327;1.409440
11.995890;28.247517;26.309610;3.939631;-0.020388;7.717925;1.360459
12.195821;28.107605;26.166687;3.935678;-0.019140;7.753087;1.304089
12.395753;27.967160;26.024316;3.931975;-0.017890;7.786644;1.241355
12.595684;27.826221;25.882461;3.928522;-0.016640;7.818452;1.173280
12.795616;27.684822;25.741088;3.925320;-0.015388;7.848397;1.100878
12.995547;27.543001;25.600162;3.922369;-0.014137;7.876391;1.025151
13.195479;27.400794;25.459649;3.919668;-0.012885;7.902371;0.942712
13.395410;27.258237;25.319515;3.917217;-0.011632;7.926186;0.842273
13.595342;27.115367;25.179725;3.915017;-0.010380;7.947403;0.723797
13.795273;26.972221;25.040244;3.913068;-0.009127;7.965590;0.587370
13.995205;26.828789;24.900995;3.911351;-0.008357;7.980319;0.433157
14.195136;26.685061;24.761927;3.909674;-0.008410;7.991164;0.261346
14.395068;26.541114;24.623115;3.907987;-0.008463;7.997700;0.092021
14.594999;26.396944;24.484558;3.906290;-0.008515;8.000000;0.000000
14.794931;26.252549;24.346258;3.904582;-0.008567;8.000000;0.000000
14.994862;26.107929;24.208215;3.902864;-0.008619;8.000000;0.000000
15.194794;25.963080;24.070431;3.901136;-0.008671;8.000000;0.000000
15.394725;25.818001;23.932906;3.899397;-0.008723;8.000000;0.000000
15.594657;25.672690;23.795641;3.897648;-0.008774;8.000000;0.000000
15.794588;25.527145;23.658638;3.895889;-0.008825;8.000000;0.000000
15.994520;25.381354;23.521885;3.894181;-0.007395;8.000000;0.000000
16.194451;25.235355;23.385335;3.893055;-0.003873;8.000000;0.000000
16.394383;25.089251;23.248899;3.892633;-0.000351;8.000000;0.000000
16.594314;24.943136;23.112473;3.892915;0.003171;8.000000;0.000000
16.794246;24.797106;22.975951;3.893901;0.006692;8.000000;0.000000
16.994177;24.651253;22.839230;3.895591;0.010213;8.000000;0.000000
17.194109;24.505672;22.702204;3.897984;0.013732;8.000000;0.000000
17.394040;24.360456;22.564768;3.901081;0.017248;8.000000;0.000000
17.593972;24.215701;22.426818;3.904881;0.020760;8.000000;0.000000
17.793903;24.071500;22.288249;3.909384;0.024267;8.000000;0.000000
17.993835;23.928033;22.149047;3.914454;0.024931;8.000000;0.000000
18.193766;23.785330;22.009208;3.919170;0.022275;8.000000;0.000000
18.393698;23.643222;21.868706;3.923356;0.019621;8.000000;0.000000
18.593629;23.501637;21.727619;3.927013;0.016972;8.000000;0.000000
18.793561;23.360505;21.586026;3.930142;0.014326;8.000000;0.000000
18.993492;23.219756;21.444006;3.932742;0.011684;8.000000;0.000000
19.193424;23.079319;21.301637;3.934815;0.009045;8.000000;0.000000
19.393355;22.939124;21.158998;3.936360;0.006409;8.000000;0.000000
19.593287;22.799100;21.016167;3.937379;0.003775;8.000000;0.000000
19.793218;22.659177;20.873224;3.937870;0.001142;8.000000;0.000000
19.993150;22.519280;20.730241;3.937828;-0.001644;8.000000;0.000000
20.193081;22.379333;20.587303;3.937204;-0.004589;8.000000;0.000000
20.393013;22.239263;20.444501;3.935992;-0.007535;8.000000;0.000000
20.592944;22.098992;20.301925;3.934190;-0.010484;8.000000;0.000000
20.792876;21.958440;20.159662;3.931798;-0.013436;8.000000;0.000000
20.992807;21.817530;20.017800;3.928816;-0.016393;8.000000;0.000000
21.192739;21.676182;19.876427;3.925243;-0.019353;8.000000;0.000000
21.392670;21.534317;19.735631;3.921078;-0.022319;8.000000;0.000000
21.592602;21.391858;19.595501;3.916322;-0.025288;8.000000;0.000000
21.792533;21.248725;19.456124;3.910973;-0.028262;8.000000;0.000000
21.992465;21.104750;19.317490;3.905278;-0.026445;8.000000;0.000000
22.192396;20.959990;19.179558;3.900605;-0.020295;8.000000;0.000000
22.392328;20.814688;19.042232;3.897163;-0.014136;8.000000;0.000000
22.592259;20.669009;18.905326;3.894953;-0.007973;8.000000;0.000000
22.792191;20.523118;18.768658;3.893976;-0.001808;8.000000;0.000000
22.992122;20.377179;18.632044;3.894230;0.004357;8.000000;0.000000
23.192054;20.231356;18.495300;3.895718;0.010521;8.000000;0.000000
23.391985;20.085813;18.358242;3.898437;0.016683;8.000000;0.000000
23.591917;19.940716;18.220687;3.902388;0.022838;8.000000;0.000000
23.791848;19.796227;18.082452;3.907569;0.028984;8.000000;0.000000
23.991780;19.652580;17.943439;3.913594;0.028410;8.000000;0.000000
24.191711;19.509745;17.803642;3.918711;0.022802;8.000000;0.000000
24.391643;19.367519;17.663164;3.922710;0.017204;8.000000;0.000000
24.591574;19.225751;17.522174;3.925591;0.011615;8.000000;0.000000
24.791506;19.084294;17.380836;3.927355;0.006031;8.000000;0.000000
24.991437;18.942997;17.239319;3.928003;0.000451;8.000000;0.000000
25.191369;18.801713;17.097788;3.927535;-0.005129;8.000000;0.000000
25.391300;18.660292;16.956411;3.925951;-0.010712;8.000000;0.000000
25.591232;18.518584;16.815353;3.923251;-0.016301;8.000000;0.000000
25.791163;18.376442;16.674781;3.919433;-0.021897;8.000000;0.000000
25.991095;18.233655;16.534785;3.914815;-0.022207;8.000000;0.000000
26.191026;18.090231;16.395404;3.910686;-0.019084;8.000000;0.000000
26.390958;17.946299;16.256592;3.907183;-0.015955;8.000000;0.000000
26.590889;17.801941;16.118256;3.904306;-0.012823;8.000000;0.000000
26.790821;17.657241;15.980302;3.902055;-0.009689;8.000000;0.000000
26.990752;17.512283;15.842637;3.900432;-0.006552;8.000000;0.000000
27.190684;17.367150;15.705167;3.899436;-0.003415;8.000000;0.000000
27.390615;17.221927;15.567799;3.899067;-0.000277;8.000000;0.000000
27.590547;17.076695;15.430440;3.899325;0.002861;8.000000;0.000000
27.790478;16.931540;15.292995;3.900211;0.005999;8.000000;0.000000
27.990410;16.786530;15.155369;3.901508;0.005821;8.000000;0.000000
