# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;130.006574;51.339912;-0.391425;-1.000647;4.337732;-1.579177
0.199964;130.172573;51.253036;-0.569558;-0.894854;4.264312;-1.213282
0.399928;130.323953;51.137671;-0.729277;-0.783539;4.207034;-0.859657
0.599892;130.459220;50.997748;-0.872280;-0.688969;4.165973;-0.512222
0.799855;130.576881;50.837195;-1.002139;-0.619556;4.141314;-0.164766
0.999819;130.675443;50.659942;-1.123042;-0.576389;4.133351;0.189372
1.199783;130.753411;50.469918;-1.239204;-0.558108;4.142502;0.536812
1.399747;130.809293;50.271053;-1.354694;-0.563261;4.168334;0.873266
1.599711;130.841593;50.067275;-1.473446;-0.590902;4.210018;1.204811
1.799675;130.848820;49.862514;4.683917;-0.640000;4.266860;1.534443
1.999639;130.830662;49.667182;4.555603;-0.635865;4.338174;1.861800
2.199602;130.790132;49.481477;4.441953;-0.556353;4.423160;2.181991
2.399566;130.729639;49.299510;4.343815;-0.466428;4.520728;2.483303
2.599530;130.651823;49.120995;4.261687;-0.377980;4.629268;2.743704
2.799494;130.559322;48.945643;4.194930;-0.297093;4.746304;2.927933
2.999458;130.454777;48.773169;4.142401;-0.225451;4.868097;3.316955
3.199422;130.340827;48.603284;4.102891;-0.162187;5.002490;3.524539
3.399386;130.220113;48.435701;4.075371;-0.105200;5.141446;3.593157
3.599349;130.095274;48.270134;4.059127;-0.051859;5.279344;3.590992
3.799313;129.968950;48.106295;4.053821;0.000741;5.413650;3.560048
3.999277;129.843024;47.942982;4.058192;0.027232;5.543588;3.515131
4.199241;129.718656;47.779908;4.063345;0.022944;5.668966;3.469566
4.399205;129.596335;47.617952;4.067534;0.018263;5.790056;3.435801
4.599169;129.475685;47.456980;4.070709;0.013240;5.907522;3.426027
4.799133;129.356332;47.296854;4.072828;0.007941;6.022373;3.478889
4.999096;129.237898;47.137437;4.073862;0.002435;6.136798;3.546144
5.199060;129.120008;46.978592;4.073788;-0.003197;6.251279;3.609678
5.399024;129.002287;46.820183;4.072597;-0.008872;6.365697;3.608471
5.598988;128.884358;46.662074;4.070291;-0.014503;6.478057;3.544492
5.798952;128.765845;46.504127;4.066881;-0.020005;6.586559;3.424561
5.998916;128.646410;46.346243;4.062573;-0.021830;6.689719;3.255930
6.198880;128.525918;46.188380;4.058370;-0.020511;6.786345;3.050130
6.398844;128.404429;46.030551;4.054412;-0.019249;6.875632;2.846439
6.598807;128.282037;45.872804;4.050690;-0.018037;6.957922;2.644657
6.798771;128.158834;45.715189;4.047199;-0.016870;7.033516;2.444691
6.998735;128.034913;45.557754;4.043933;-0.015744;7.102679;2.246524
7.198699;127.910365;45.400546;4.040885;-0.014652;7.165647;2.050184
7.398663;127.785283;45.243614;4.038051;-0.013592;7.222633;1.855736
7.598627;127.659759;45.087007;4.035428;-0.012557;7.273829;1.663269
7.798591;127.533886;44.930773;4.033010;-0.011544;7.319411;1.472884
7.998554;127.407731;44.774927;4.030824;-0.010057;7.359539;1.284697
8.198518;127.281365;44.619461;4.028995;-0.008193;7.394363;1.098827
8.398482;127.154847;44.464329;4.027543;-0.006318;7.424019;0.915401
8.598446;127.028220;44.309463;4.026467;-0.004432;7.448634;0.734544
8.798410;126.901526;44.154796;4.025770;-0.002539;7.468327;0.556383
8.998374;126.774807;44.000258;4.025452;-0.000641;7.483210;0.381046
9.198338;126.648105;43.845781;4.025514;0.001261;7.493385;0.208658
9.398301;126.521462;43.691296;4.025956;0.003163;7.498951;0.039341
9.598265;126.394920;43.536737;4.026778;0.005064;7.500000;0.000000
9.798229;126.268522;43.382033;4.027979;0.006961;7.500000;0.000000
9.998193;126.142317;43.227132;4.029486;0.007670;7.500000;0.000000
10.198157;126.016323;43.072005;4.031017;0.007657;7.500000;0.000000
10.398121;125.890536;42.916648;4.032547;0.007646;7.500000;0.000000
10.598085;125.764962;42.761069;4.034074;0.007635;7.500000;0.000000
10.798048;125.639605;42.605272;4.035600;0.007626;7.500000;0.000000
10.998012;125.514468;42.449263;4.037124;0.007617;7.500000;0.000000
11.197976;125.389557;42.293048;4.038647;0.007610;7.500000;0.000000
11.397940;125.264876;42.136633;4.040169;0.007604;7.500000;0.000000
11.597904;125.140428;41.980023;4.041689;0.007598;7.500000;0.000000
11.797868;125.016219;41.823224;4.043209;0.007594;7.500000;0.000000
11.997832;124.892233;41.666228;4.044584;0.005448;7.500000;0.000000
12.197795;124.768418;41.509097;4.045353;0.002243;7.500000;0.000000
12.397759;124.644682;41.351922;4.045481;-0.000964;7.500000;0.000000
12.597723;124.520927;41.194786;4.044968;-0.004171;7.500000;0.000000
12.797687;124.397055;41.037770;4.043813;-0.007381;7.500000;0.000000
12.997651;124.272968;40.880958;4.042015;-0.010594;7.500000;0.000000
13.197615;124.148566;40.724432;4.039576;-0.013809;7.500000;0.000000
13.397579;124.023752;40.568273;4.036494;-0.017027;7.500000;0.000000
13.597542;123.898426;40.412564;4.032768;-0.020249;7.500000;0.000000
13.797506;123.772491;40.257388;4.028400;-0.023472;7.500000;0.000000
13.997470;123.645792;40.102723;4.023862;-0.020048;7.500000;0.000000
14.197434;123.518459;39.948547;4.020456;-0.014025;7.500000;0.000000
14.397398;123.390703;39.794738;4.018254;-0.007998;7.500000;0.000000
14.597362;123.262706;39.641140;4.017258;-0.001968;7.500000;0.000000
14.797326;123.134649;39.487593;4.017467;0.004061;7.500000;0.000000
14.997289;123.006715;39.333940;4.018882;0.010090;7.500000;0.000000
15.197253;122.879086;39.180024;4.021502;0.016117;7.500000;0.000000
15.397217;122.751945;39.025685;4.025327;0.022139;7.500000;0.000000
15.597181;122.625473;38.870767;4.030356;0.028153;7.500000;0.000000
15.797145;122.499854;38.715112;4.036587;0.034155;7.500000;0.000000
15.997109;122.375346;38.558730;4.043168;0.029267;7.500000;0.000000
16.197073;122.251752;38.401621;4.048220;0.021276;7.500000;0.000000
16.397036;122.128799;38.243950;4.051676;0.013298;7.500000;0.000000
16.597000;122.006242;38.085923;4.053539;0.005331;7.500000;0.000000
16.796964;121.883839;37.927747;4.053809;-0.002630;7.500000;0.000000
16.996928;121.761348;37.769627;4.052487;-0.010589;7.500000;0.000000
17.196892;121.638523;37.611770;4.049573;-0.018552;7.500000;0.000000
17.396856;121.515124;37.454382;4.045065;-0.026523;7.500000;0.000000
17.596820;121.390906;37.297669;4.038964;-0.034501;7.500000;0.000000
17.796783;121.265626;37.141838;4.031267;-0.042486;7.500000;0.000000
17.996747;121.139069;36.987027;4.023127;-0.036465;7.500000;0.000000
18.196711;121.011388;36.833144;4.016738;-0.027440;7.500000;0.000000
18.396675;120.882864;36.679963;4.012154;-0.018412;7.500000;0.000000
18.596639;120.753774;36.527254;4.009374;-0.009385;7.500000;0.000000
18.796603;120.624396;36.374784;4.008400;-0.000359;7.500000;0.000000
18.996567;120.495006;36.222322;4.009231;0.008666;7.500000;0.000000
19.196531;120.365880;36.069637;4.011866;0.017693;7.500000;0.000000
19.396494;120.237298;35.916498;4.016306;0.026719;7.500000;0.000000
19.596458;120.109534;35.762673;4.022552;0.035743;7.500000;0.000000
19.796422;119.982866;35.607931;4.030601;0.044756;7.500000;0.000000
19.996386;119.857534;35.452122;4.039065;0.037880;7.500000;0.000000
20.196350;119.733369;35.295347;4.045722;0.028690;7.500000;0.000000
20.396314;119.610089;35.137842;4.050542;0.019512;7.500000;0.000000
20.596278;119.487414;34.979843;4.053528;0.010343;7.500000;0.000000
20.796241;119.365066;34.821589;4.054680;0.001177;7.500000;0.000000
20.996205;119.242764;34.663319;4.053999;-0.007991;7.500000;0.000000
21.196169;119.120229;34.505270;4.051483;-0.017170;7.500000;0.000000
21.396133;118.997183;34.347681;4.047131;-0.026365;7.500000;0.000000
21.596097;118.873345;34.190791;4.040941;-0.035579;7.500000;0.000000
21.796061;118.748436;34.034836;4.032910;-0.044812;7.500000;0.000000
21.996025;118.622086;33.879800;4.024543;-0.037509;7.500000;0.000000
22.195988;118.494590;33.725732;4.017920;-0.028723;7.500000;0.000000
22.395952;118.366226;33.572417;4.013057;-0.019923;7.500000;0.000000
22.595916;118.237262;33.419625;4.009953;-0.011117;7.500000;0.000000
22.795880;118.107961;33.267124;4.008611;-0.002309;7.500000;0.000000
22.995844;117.978591;33.114683;4.009030;0.006500;7.500000;0.000000
23.195808;117.849417;32.962071;4.011210;0.015307;7.500000;0.000000
23.395772;117.720704;32.809058;4.015151;0.024110;7.500000;0.000000
23.595735;117.592718;32.655411;4.020852;0.032904;7.500000;0.000000
23.795699;117.465724;32.500899;4.028311;0.041680;7.500000;0.000000
23.995663;117.340087;32.345571;4.036008;0.035059;7.500000;0.000000
24.195627;117.215508;32.189325;4.042321;0.028119;7.500000;0.000000
24.395591;117.091773;32.032335;4.047249;0.021191;7.500000;0.000000
24.595555;116.968671;31.874781;4.050794;0.014275;7.500000;0.000000
24.795519;116.845992;31.716840;4.052958;0.007370;7.500000;0.000000
24.995482;116.723525;31.558692;4.053743;0.000473;7.500000;0.000000
