# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;19.295486;52.937750;-0.094834;-0.868231;4.621559;-0.263970
0.199890;19.473128;52.907197;-0.242757;-0.766868;4.610128;-0.031521
0.399780;19.647981;52.851257;-0.372927;-0.650316;4.608761;0.190961
0.599670;19.819425;52.772482;-0.485009;-0.539843;4.617036;0.409437
0.799560;19.986836;52.673424;-0.580526;-0.445348;4.634728;0.630138
0.999450;20.149592;52.556633;-0.661781;-0.368972;4.661826;0.859815
1.199339;20.307071;52.424661;-0.731177;-0.309151;4.698549;1.110375
1.399229;20.458652;52.280059;-0.790903;-0.263165;4.745552;1.380245
1.599119;20.603712;52.125377;-0.842842;-0.228342;4.803338;1.668852
1.799009;20.741628;51.963168;-0.888570;-0.202505;4.872292;1.974476
1.998899;20.871720;51.796063;-0.929396;-0.185229;4.952634;2.293537
2.198789;20.992570;51.627489;-0.968441;-0.191145;5.044353;2.610869
2.398679;21.105276;51.456431;-1.008150;-0.196407;5.146773;2.908724
2.598569;21.209895;51.282921;-1.048415;-0.200907;5.258528;3.168632
2.798459;21.306485;51.106989;-1.089121;-0.204552;5.377627;3.365895
2.998349;21.395104;50.928667;-1.130142;-0.207263;5.501317;3.751689
3.198239;21.475809;50.747985;-1.171346;-0.208984;5.635986;3.969960
3.398128;21.548658;50.564975;-1.212599;-0.209682;5.775071;4.129600
3.598018;21.613710;50.379668;-1.253766;-0.209346;5.916281;3.937180
3.797908;21.671021;50.192096;-1.294713;-0.207996;6.047841;3.658414
3.997798;21.720655;50.002269;-1.335313;-0.205378;6.167572;3.342811
4.197688;21.762981;49.809217;-1.373979;-0.185857;6.274977;3.001523
4.397578;21.798274;49.614211;-1.408876;-0.166343;6.369873;2.643480
4.597468;21.827201;49.417522;-1.440028;-0.147115;6.452294;2.275666
4.797358;21.850430;49.219421;-1.467491;-0.128346;6.522412;1.903659
4.997248;21.868628;49.020178;-1.491336;-0.110115;6.580494;1.536319
5.197138;21.882460;48.820064;-1.511641;-0.092426;6.626997;1.180700
5.397028;21.892594;48.619350;-1.528480;-0.075227;6.662515;0.859907
5.596918;21.899697;48.418307;-1.541917;-0.058421;6.688265;0.574591
5.796807;21.904436;48.217204;-1.552002;-0.041877;6.705415;0.324346
5.996697;21.907477;48.016313;-1.558765;-0.025535;6.715077;0.109007
6.196587;21.909469;47.815844;-1.562489;-0.011587;6.718321;-0.071418
6.396477;21.910993;47.615763;-1.563399;0.002518;6.716196;-0.216827
