# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;-72.394061;49.966511;-0.154178;-0.789802;4.865651;-0.858707
0.199950;-72.213842;49.925287;-0.293007;-0.707295;4.830234;-0.552353
0.399901;-72.038200;49.859898;-0.416809;-0.612826;4.807315;-0.242350
0.599851;-71.867731;49.772766;-0.525315;-0.521993;4.797224;0.076935
0.799801;-71.703031;49.666313;-0.619697;-0.442789;4.800430;0.401200
0.999752;-71.544696;49.542961;-0.701798;-0.377672;4.817112;0.734564
1.199702;-71.393321;49.405134;-0.773624;-0.326174;4.847507;1.081744
1.399652;-71.249503;49.255254;-0.837088;-0.286717;4.891923;1.420738
1.599603;-71.113838;49.095742;-0.893917;-0.257601;4.949653;1.555290
1.799553;-70.986922;48.929022;-0.945642;-0.237466;5.012088;1.664988
1.999503;-70.869273;48.757398;-0.993680;-0.225883;5.078076;1.744762
2.199454;-70.760682;48.581856;-1.039726;-0.219741;5.146318;1.785165
2.399404;-70.661374;48.403879;-1.083663;-0.210950;5.215216;1.771204
2.599354;-70.570685;48.223656;-1.125143;-0.199843;5.282687;1.681115
2.799305;-70.487954;48.041379;-1.163874;-0.186803;5.345939;1.487536
2.999255;-70.412518;47.857235;-1.199622;-0.172226;5.401290;1.482662
3.199206;-70.343714;47.671417;-1.232207;-0.156489;5.455900;1.191319
3.399156;-70.280879;47.484113;-1.261501;-0.139926;5.499387;0.862243
3.599106;-70.223352;47.295514;-1.287412;-0.122814;5.530648;0.502913
3.799057;-70.170470;47.105809;-1.309886;-0.105369;5.548800;0.129049
3.999007;-70.121718;46.915780;-1.328980;-0.093279;5.553448;-0.239658
4.198957;-70.076864;46.726483;-1.347380;-0.095770;5.544813;-0.580431
4.398908;-70.035472;46.536042;-1.366232;-0.097576;5.523842;-0.867119
4.598858;-69.997576;46.344155;-1.385436;-0.098668;5.492365;-1.072107
4.798808;-69.963212;46.150517;-1.404888;-0.099034;5.453195;-1.232329
4.998759;-69.932413;45.954827;-1.424484;-0.098684;5.407821;-1.381916
5.198709;-69.905215;45.756780;-1.444119;-0.097643;5.356482;-1.453535
5.398659;-69.881652;45.556073;-1.463691;-0.095955;5.301946;-1.459367
5.598610;-69.861760;45.352403;-1.483103;-0.093675;5.246621;-1.421233
5.798560;-69.845573;45.145467;-1.502265;-0.090873;5.192174;-1.356976
5.998510;-69.833131;44.935366;-1.520383;-0.067947;5.139652;-1.279645
6.198461;-69.823490;44.723140;-1.528268;-0.007065;5.089626;-1.198316
6.398411;-69.814130;44.509938;-1.523468;0.052196;5.042329;-1.121906
6.598361;-69.802446;44.297847;-1.505847;0.114776;4.997643;-1.061488
6.798312;-69.785836;44.088953;-1.474572;0.185760;4.954992;-1.016564
6.998262;-69.761695;43.885342;-1.428103;0.270617;4.913799;-0.976302
7.198212;-69.727421;43.689101;-1.364216;0.374871;4.873909;-0.939601
7.398163;-69.680410;43.502314;-1.280160;0.502414;4.835209;-0.905959
7.598113;-69.618060;43.327070;-1.173160;0.651143;4.797599;-0.822504
7.798063;-69.537765;43.165453;-1.041572;0.805355;4.763196;-0.562264
7.998014;-69.436165;43.018567;-0.887377;0.869916;4.739534;-0.302536
8.197964;-69.310994;42.886733;-0.738593;0.760712;4.726753;-0.039758
8.397914;-69.165956;42.771380;-0.609011;0.637221;4.725071;0.021257
8.597865;-69.003680;42.671425;-0.498797;0.521811;4.725971;0.014147
8.797815;-68.826792;42.585785;-0.406180;0.424125;4.726569;0.032586
8.997766;-68.637922;42.513376;-0.328659;0.345594;4.727948;0.077292
9.197716;-68.439697;42.453115;-0.263716;0.283982;4.731215;0.169208
9.397666;-68.234746;42.403919;-0.209128;0.236046;4.738361;0.314346
9.597617;-68.025696;42.364704;-0.163056;0.198693;4.751607;0.455973
9.797567;-67.815175;42.334387;-0.124034;0.169338;4.770756;0.598200
9.997517;-67.607430;42.312037;-0.091063;0.147524;4.795762;0.742370
10.197468;-67.403318;42.296357;-0.063002;0.126119;4.826615;0.886227
10.397418;-67.201063;42.286030;-0.039834;0.102269;4.863190;1.022283
10.597368;-67.000363;42.279924;-0.021856;0.076493;4.905041;1.135801
