# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;-72.394061;49.357111;-0.213051;-0.953768;4.632903;-0.755440
0.199917;-72.222619;49.304960;-0.373975;-0.835284;4.600189;-0.446749
0.399834;-72.057435;49.225890;-0.514843;-0.702777;4.580733;-0.144184
0.599751;-71.899180;49.122827;-0.635845;-0.581656;4.574436;0.157781
0.799668;-71.748527;48.998693;-0.739290;-0.482128;4.581327;0.464924
0.999586;-71.606147;48.856413;-0.828226;-0.405230;4.601570;0.781199
1.199503;-71.472711;48.698910;-0.905685;-0.348308;4.635385;1.115845
1.399420;-71.348893;48.529109;-0.974390;-0.308038;4.683263;1.510674
1.599337;-71.235362;48.349933;-1.036716;-0.281686;4.747312;1.897992
1.799254;-71.132792;48.164307;-1.094759;-0.267555;4.826577;2.002597
1.999171;-71.041853;47.975153;-1.150462;-0.265177;4.908824;2.048971
2.199088;-70.961984;47.782483;-1.204762;-0.253678;4.991573;2.059954
2.399005;-70.893501;47.589250;-1.255019;-0.235615;5.073406;2.018389
2.598922;-70.835159;47.395645;-1.300424;-0.212674;5.152326;1.898439
2.798839;-70.785649;47.201707;-1.340375;-0.185909;5.225469;1.664357
2.998757;-70.743660;47.007477;-1.374425;-0.156348;5.288761;1.650822
3.198674;-70.707881;46.812992;-1.402259;-0.124880;5.350799;1.434995
3.398591;-70.677001;46.618295;-1.423673;-0.092210;5.404147;1.159261
3.598508;-70.649710;46.423423;-1.438544;-0.058849;5.446863;0.840107
3.798425;-70.624698;46.228417;-1.446805;-0.025154;5.477611;0.500255
3.998342;-70.600654;46.033329;-1.448431;0.007897;5.495839;0.162574
4.198259;-70.576526;45.838620;-1.446424;0.012546;5.501749;-0.151059
4.398176;-70.551880;45.643676;-1.443509;0.017109;5.496258;-0.420108
4.598093;-70.526515;45.448323;-1.439699;0.021545;5.480956;-0.627592
4.798010;-70.500227;45.252387;-1.435014;0.025815;5.458016;-0.796778
4.997928;-70.472813;45.055692;-1.429480;0.029882;5.428753;-0.949239
5.197845;-70.444070;44.858065;-1.423125;0.033712;5.393684;-1.020526
5.397762;-70.413793;44.659330;-1.415985;0.037274;5.355724;-1.035200
5.597679;-70.381782;44.459313;-1.408098;0.040544;5.316942;-1.014776
5.797596;-70.347831;44.257840;-1.399506;0.043499;5.278649;-0.975938
5.997513;-70.311708;44.054573;-1.390220;0.049366;5.241557;-0.931017
6.197430;-70.272601;43.848141;-1.375452;0.091338;5.205926;-0.888722
6.397347;-70.229437;43.642079;-1.351619;0.135696;5.171685;-0.849838
6.597264;-70.180664;43.438417;-1.318138;0.185193;5.138729;-0.814989
6.797181;-70.124727;43.239183;-1.274050;0.242550;5.106924;-0.783515
6.997099;-70.060072;43.046407;-1.218053;0.310336;5.076159;-0.754899
7.197016;-69.985146;42.862117;-1.148579;0.390407;5.046341;-0.728732
7.396933;-69.898395;42.688342;-1.063985;0.482621;5.017389;-0.704679
7.596850;-69.798264;42.527111;-0.962945;0.582627;4.989232;-0.682469
7.796767;-69.683201;42.380453;-0.845106;0.679259;4.961810;-0.661876
7.996684;-69.552080;42.250755;-0.713078;0.720754;4.935070;-0.363494
8.196601;-69.405659;42.139566;-0.588697;0.629257;4.920323;-0.115826
8.396518;-69.244435;42.044486;-0.480017;0.532114;4.915615;-0.033884
8.596435;-69.070368;41.964235;-0.386869;0.441577;4.914237;0.080211
8.796352;-68.885420;41.897530;-0.307996;0.363055;4.917499;0.222688
8.996270;-68.691553;41.843091;-0.241715;0.297479;4.926544;0.385224
