# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;26.329736;35.251838;-0.145640;-0.451301;5.779187;-1.143887
0.199984;26.520527;35.215462;-0.230035;-0.416632;5.739467;-0.961638
0.399967;26.708446;35.163568;-0.307595;-0.378587;5.705862;-0.811138
0.599951;26.893292;35.097454;-0.378133;-0.340063;5.677361;-0.661736
0.799935;27.074863;35.018415;-0.441780;-0.303062;5.654004;-0.512577
0.999919;27.252959;34.927747;-0.498870;-0.268755;5.635844;-0.358676
1.199902;27.427378;34.826747;-0.549850;-0.237670;5.623103;-0.194074
1.399886;27.597920;34.716712;-0.595215;-0.209896;5.616196;-0.007460
1.599870;27.764383;34.598936;-0.635454;-0.185250;5.615931;0.157640
1.799853;27.926566;34.474718;-0.671023;-0.163395;5.621541;0.303611
1.999837;28.084219;34.345392;-0.702345;-0.146278;5.632332;0.430717
2.199821;28.236773;34.212311;-0.732502;-0.151644;5.647604;0.537050
2.399804;28.384516;34.075234;-0.763604;-0.156977;5.666590;0.618403
2.599788;28.527290;33.934125;-0.795645;-0.162221;5.688372;0.668271
2.799772;28.664932;33.788945;-0.828611;-0.167310;5.711818;0.670720
2.999756;28.797281;33.639658;-0.862482;-0.172174;5.735253;0.968810
3.199739;28.924177;33.486226;-0.897225;-0.176739;5.768936;0.987672
3.399723;29.045459;33.328611;-0.932799;-0.180926;5.803073;0.986731
3.599707;29.160966;33.166776;-0.969153;-0.184654;5.836979;0.965286
3.799690;29.270537;33.000682;-1.006225;-0.187845;5.869958;0.924152
3.999674;29.374044;32.830237;-1.043967;-0.191251;5.901359;0.864772
4.199658;29.471332;32.655253;-1.083041;-0.199254;5.930591;0.788664
4.399641;29.561670;32.476296;-1.123892;-0.208473;5.957126;0.697114
4.599625;29.644464;32.293685;-1.166716;-0.218849;5.980483;0.591046
4.799609;29.719118;32.107736;-1.211701;-0.230291;6.000215;0.470979
4.999593;29.785038;31.918767;-1.259019;-0.242660;6.015892;0.343460
5.199576;29.841629;31.727098;-1.308817;-0.255753;6.027298;0.232707
5.399560;29.888296;31.533046;-1.361214;-0.269286;6.035015;0.162988
5.599544;29.924445;31.336928;-1.416280;-0.282884;6.040413;0.132412
5.799527;29.949480;31.139064;-1.474034;-0.296070;6.044795;0.138982
5.999511;29.962793;30.940234;-1.534121;-0.302039;6.049392;0.180795
6.199495;29.964205;30.741774;4.690357;-0.289643;6.055366;0.248789
6.399478;29.954160;30.542942;4.633836;-0.278293;6.063576;0.442309
6.599462;29.933033;30.344374;4.579286;-0.268228;6.078147;0.666130
6.799446;29.901203;30.146706;4.526464;-0.259613;6.100025;0.890936
6.999430;29.859047;29.950576;4.475112;-0.252562;6.129163;1.118799
7.199413;29.806941;29.756618;4.424954;-0.247155;6.165560;1.347467
7.399397;29.745264;29.565470;4.375709;-0.243450;6.209112;1.574238
7.599381;29.674393;29.377767;4.327085;-0.241501;6.259610;1.798257
7.799364;29.594704;29.194147;4.278784;-0.241364;6.316800;2.018459
7.999348;29.506451;29.015002;4.230572;-0.237620;6.380382;2.200996
8.199332;29.409828;28.840166;4.185150;-0.216790;6.449000;2.274787
8.399315;29.305940;28.670003;4.144130;-0.194490;6.519160;2.337864
8.599299;29.195572;28.504047;4.107659;-0.171385;6.590487;2.388236
8.799283;29.079509;28.341833;4.075806;-0.147978;6.662562;2.424123
8.999267;28.958538;28.182894;4.048586;-0.124612;6.734931;2.453130
9.199250;28.833442;28.026767;4.025974;-0.101485;6.807384;2.482228
9.399234;28.705009;27.872984;4.007931;-0.078677;6.879919;2.495091
9.599218;28.574023;27.721082;3.994412;-0.056171;6.952067;2.494368
9.799201;28.441269;27.570593;3.985379;-0.033879;7.023454;2.482685
9.999185;28.307530;27.421056;3.980585;-0.019177;7.093793;2.462614
10.199169;28.173281;27.272193;3.976454;-0.022036;7.162881;2.436665
10.399152;28.038484;27.124041;3.971754;-0.024901;7.230591;2.407288
10.599136;27.903047;26.976670;3.966483;-0.027769;7.296868;2.376890
10.799120;27.766881;26.830147;3.960641;-0.030638;7.361723;2.347851
10.999104;27.629894;26.684542;3.954230;-0.033503;7.425229;2.322549
11.199087;27.491998;26.539921;3.947249;-0.036362;7.487521;2.295322
11.399071;27.353102;26.396355;3.939701;-0.039211;7.548578;2.240740
11.599055;27.213115;26.253910;3.931586;-0.042045;7.607710;2.157897
11.799038;27.071947;26.112657;3.922909;-0.044857;7.664225;2.046489
11.999022;26.929502;25.972652;3.913814;-0.043528;7.717439;1.906557
12.199006;26.785816;25.833833;3.906015;-0.034550;7.766687;1.738266
12.398989;26.641137;25.695973;3.900007;-0.025580;7.811317;1.551347
12.598973;26.495714;25.558816;3.895789;-0.016624;7.850934;1.366055
12.798957;26.349797;25.422106;3.893359;-0.007680;7.885654;1.182539
12.998941;26.203636;25.285588;3.892716;0.001251;7.915587;1.000946
13.198924;26.057479;25.149006;3.893859;0.010174;7.940835;0.821419
13.398908;25.911577;25.012105;3.896787;0.019090;7.961495;0.644100
13.598892;25.766179;24.874629;3.901499;0.028002;7.977658;0.469127
13.798875;25.621535;24.736322;3.907994;0.036908;7.989409;0.296633
13.998859;25.477954;24.596998;3.915989;0.038856;7.996831;0.126749
14.198843;25.335513;24.456649;3.922921;0.030478;8.000000;0.000000
14.398826;25.193905;24.315409;3.928179;0.022111;8.000000;0.000000
14.598810;25.052904;24.173525;3.931766;0.013755;8.000000;0.000000
14.798794;24.912284;24.031243;3.933683;0.005406;8.000000;0.000000
14.998778;24.771818;23.888810;3.933929;-0.002941;8.000000;0.000000
15.198761;24.631281;23.746472;3.932506;-0.011293;8.000000;0.000000
15.398745;24.490446;23.604475;3.929411;-0.019656;8.000000;0.000000
15.598729;24.349088;23.463067;3.924644;-0.028033;8.000000;0.000000
15.798712;24.206980;23.322493;3.918202;-0.036427;8.000000;0.000000
15.998696;24.063829;23.182923;3.910404;-0.037493;8.000000;0.000000
16.198680;23.919594;23.044363;3.903723;-0.029307;8.000000;0.000000
16.398664;23.774572;22.906671;3.898682;-0.021106;8.000000;0.000000
16.598647;23.628983;22.769605;3.895282;-0.012897;8.000000;0.000000
16.798631;23.483046;22.632920;3.893525;-0.004685;8.000000;0.000000
16.998615;23.336981;22.496372;3.893409;0.003529;8.000000;0.000000
17.198598;23.191008;22.359717;3.894936;0.011741;8.000000;0.000000
17.398582;23.045348;22.222711;3.898104;0.019948;8.000000;0.000000
17.598566;22.900219;22.085109;3.902914;0.028147;8.000000;0.000000
17.798549;22.755841;21.946669;3.909363;0.036330;8.000000;0.000000
17.998533;22.612507;21.807234;3.917047;0.036468;8.000000;0.000000
18.198517;22.470220;21.666803;3.923533;0.028427;8.000000;0.000000
18.398501;22.328693;21.525526;3.928415;0.020403;8.000000;0.000000
18.598484;22.187712;21.383640;3.931695;0.012395;8.000000;0.000000
18.798468;22.047063;21.241385;3.933374;0.004396;8.000000;0.000000
18.998452;21.906532;21.099000;3.933454;-0.003598;8.000000;0.000000
19.198435;21.765906;20.956722;3.931934;-0.011596;8.000000;0.000000
19.398419;21.624970;20.814791;3.928814;-0.019604;8.000000;0.000000
19.598403;21.483510;20.673446;3.924092;-0.027627;8.000000;0.000000
19.798386;21.341313;20.532925;3.917766;-0.035668;8.000000;0.000000
19.998370;21.198089;20.393371;3.910279;-0.035298;8.000000;0.000000
20.198354;21.053854;20.254789;3.903987;-0.027609;8.000000;0.000000
20.398338;20.908882;20.117031;3.899236;-0.019905;8.000000;0.000000
20.598321;20.763379;19.979865;3.896026;-0.012192;8.000000;0.000000
20.798305;20.617550;19.843063;3.894360;-0.004475;8.000000;0.000000
20.998289;20.471602;19.706394;3.894237;0.003243;8.000000;0.000000
21.198272;20.325740;19.569628;3.895657;0.010961;8.000000;0.000000
21.398256;20.180171;19.432536;3.898620;0.018674;8.000000;0.000000
21.598240;20.035099;19.294887;3.903125;0.026379;8.000000;0.000000
21.798223;19.890732;19.156451;3.909171;0.034071;8.000000;0.000000
21.998207;19.747355;19.017104;3.916252;0.033272;8.000000;0.000000
22.198191;19.604927;18.876836;3.922230;0.026538;8.000000;0.000000
22.398175;19.463208;18.735776;3.926865;0.019818;8.000000;0.000000
22.598158;19.322018;18.594124;3.930157;0.013110;8.000000;0.000000
22.798142;19.181178;18.452081;3.932110;0.006411;8.000000;0.000000
22.998126;19.040510;18.309846;3.932722;-0.000283;8.000000;0.000000
23.198109;18.899834;18.167620;3.931996;-0.006977;8.000000;0.000000
23.398093;18.758972;18.025602;3.929931;-0.013677;8.000000;0.000000
23.598077;18.617744;17.883993;3.926525;-0.020386;8.000000;0.000000
23.798060;18.475972;17.742993;3.921777;-0.027107;8.000000;0.000000
23.998044;18.333387;17.602691;3.916063;-0.027773;8.000000;0.000000
24.198028;18.190003;17.463157;3.910799;-0.024847;8.000000;0.000000
24.398012;18.045956;17.324366;3.906122;-0.021914;8.000000;0.000000
24.597995;17.901324;17.186228;3.902033;-0.018976;8.000000;0.000000
24.797979;17.756186;17.048656;3.898532;-0.016034;8.000000;0.000000
24.997963;17.610620;16.911562;3.895620;-0.013089;8.000000;0.000000
25.197946;17.464705;16.774859;3.893298;-0.010142;8.000000;0.000000
25.397930;17.318520;16.638457;3.891565;-0.007194;8.000000;0.000000
25.597914;17.172143;16.502270;3.890421;-0.004245;8.000000;0.000000
25.797897;17.025653;16.366210;3.889868;-0.001295;8.000000;0.000000
25.997881;16.879124;16.230184;3.889897;0.001567;8.000000;0.000000
26.197865;16.732635;16.094111;3.890493;0.004387;8.000000;0.000000
26.397849;16.586264;15.957906;3.891652;0.007207;8.000000;0.000000
26.597832;16.440084;15.821487;3.893375;0.010026;8.000000;0.000000
