# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;-20.956285;79.510169;-0.106544;-0.119974;7.500000;0.000000
0.199936;-20.757956;79.486577;-0.130125;-0.116141;7.500000;0.000000
0.399872;-20.560255;79.458396;-0.152931;-0.112250;7.500000;0.000000
0.599809;-20.363219;79.425787;-0.174958;-0.108327;7.500000;0.000000
0.799745;-20.166882;79.388913;-0.196206;-0.104396;7.500000;0.000000
0.999681;-19.971282;79.347936;-0.216677;-0.100476;7.500000;0.000000
1.199617;-19.776455;79.303019;-0.236377;-0.096585;7.500000;0.000000
1.399553;-19.582437;79.254322;-0.255312;-0.092736;7.500000;0.000000
1.599489;-19.389264;79.202010;-0.273491;-0.088942;7.500000;0.000000
1.799426;-19.196973;79.146243;-0.290924;-0.085210;7.500000;0.000000
1.999362;-19.005590;79.087180;-0.307624;-0.081885;7.500000;0.000000
2.199298;-18.814888;79.024813;-0.324769;-0.089047;7.500000;0.000000
2.399234;-18.625380;78.959066;-0.343364;-0.096391;7.500000;0.000000
2.599170;-18.437296;78.889711;-0.363439;-0.103919;7.500000;0.000000
2.799106;-18.250867;78.816520;-0.385021;-0.111624;7.500000;0.000000
2.999043;-18.066321;78.739267;-0.408138;-0.119489;7.500000;0.000000
3.198979;-17.883890;78.657723;-0.432812;-0.127484;7.500000;0.000000
3.398915;-17.703803;78.571662;-0.459063;-0.135566;7.500000;0.000000
3.598851;-17.526292;78.480855;-0.486903;-0.143678;7.500000;0.000000
3.798787;-17.351586;78.385076;-0.516336;-0.151746;7.500000;0.000000
3.998723;-17.179935;78.284108;-0.547335;-0.157945;7.500000;0.000000
4.198660;-17.011678;78.178013;-0.577358;-0.143874;7.500000;0.000000
4.398596;-16.846385;78.067051;-0.604588;-0.129660;7.500000;0.000000
4.598532;-16.683803;77.951707;-0.629018;-0.115452;7.500000;0.000000
4.798468;-16.523677;77.832469;-0.650657;-0.101353;7.500000;0.000000
4.998404;-16.365755;77.709822;-0.669527;-0.087424;7.500000;0.000000
5.198340;-16.209783;77.584255;-0.685654;-0.073690;7.500000;0.000000
5.398277;-16.055508;77.456254;-0.699066;-0.060149;7.500000;0.000000
5.598213;-15.902675;77.326305;-0.709788;-0.046772;7.500000;0.000000
5.798149;-15.751033;77.194896;-0.717842;-0.033514;7.500000;0.000000
5.998085;-15.600305;77.062494;-0.723269;-0.022724;7.500000;0.000000
6.198021;-15.450208;76.929294;-0.728648;-0.030894;7.500000;0.000000
6.397957;-15.301081;76.795295;-0.735664;-0.039110;7.500000;0.000000
6.597894;-15.153156;76.660266;-0.744324;-0.047373;7.500000;0.000000
